category,question,answer,source
가상 계좌 안내,가상 계좌 입금 시 늦어도 11시 30분까지는 입금해야 하는 거지?,응.,AIHub(하나카드)/25205
가상 계좌 안내,가상 계좌에 입금할 경우 손님의 결제 계좌는 입출금 가능한 정상 계좌가 아니어도 상관없어?,"아니, 이중 출금 문제가 생긴 경우 출금된 금액을 손님의 결제 계좌로 환불해야 하므로 정상 계좌여야 한다.",AIHub(하나카드)/20811
가상 계좌 안내,계좌에서 이중 출금이 안되게 하려면 어떻게 해야 하지?,오늘 하루 동안 통장 잔고를 비워두어야 해.,AIHub(하나카드)/21482
가상 계좌 안내,고객은 SMS로 청구서를 받아보기 위하여 다달이 추가금을 지불해야 하나요?,"아니요, 추가금은 지불하지 않아도 됩니다.",AIHub(하나카드)/27093
가상 계좌 안내,고객은 가상 계좌로 정확한 금액을 입금할 수 있을까?,"예, 가상 계좌로 정확한 금액을 입금할 수 있습니다.",AIHub(하나카드)/21482
가상 계좌 안내,고객은 가상계좌로 입금할 수 있는 시간을 알고 있나요?,"예, 오늘 밤 11시 반까지 입금 가능하다는 것을 알고 있습니다.",AIHub(하나카드)/20819
가상 계좌 안내,고객은 리볼빙 서비스를 사용하고 있어?,응.,AIHub(하나카드)/27006
가상 계좌 안내,고객은 무슨 은행으로 가상 계좌를 요청했나요?,대한은행,AIHub(하나카드)/27196
가상 계좌 안내,고객은 상속인 등록이 되어 있었나요?,"아니요, 상속인 등록이 되어 있지 않았습니다.",AIHub(하나카드)/27196
가상 계좌 안내,고객은 오전에 신청했던 가상 계좌와 동일한 계좌를 다시 보내달라고 했지?,"아니, 다른 은행의 가상 계좌로 보내달라고 했어.",AIHub(하나카드)/22433
가상 계좌 안내,고객의 결제 건이 즉시 매입되어 바로 할부 변경이 가능한가?,"아니요, 매입까지 평일 기준 3-4일이 소요되어 바로 변경할 수 없습니다.",AIHub(하나카드)/21336
가상 계좌 안내,고객의 결제 계좌에서 왜 출금 진행이 안 됐어?,결제 계좌에 잔액이 없어서 출금이 안 됐어.,AIHub(하나카드)/27300
가상 계좌 안내,고객의 결제일은 언제인가요?,매월 1일입니다.,AIHub(하나카드)/26986
가상 계좌 안내,고객의 이번 달 최소 카드 결제 금액은 얼마야?,"500,000원",AIHub(하나카드)/27006
가상 계좌 안내,고객의 자동차 보험 취소 확정이 난 건 언제야?,11월 10일,AIHub(하나카드)/26875
가상 계좌 안내,고객의 한도 하향이 이루어지는 시각은 언제니?,오늘 밤 12시,AIHub(하나카드)/25205
가상 계좌 안내,고객이 가상 계좌로 보내겠다고 한 금액은 얼마야?,"2,000,000원",AIHub(하나카드)/27300
가상 계좌 안내,고객이 가상 계좌로 입금해야 할 금액은 얼마야?,"수수료 포함 2,164,000원이야.",AIHub(하나카드)/26875
가상 계좌 안내,고객이 결제를 문의한 카드의 소유자는 누구입니까?,고객의 아버지,AIHub(하나카드)/27196
가상 계좌 안내,고객이 기존에 청구서를 받아보고 있던 수단은 무엇인가요?,이메일입니다.,AIHub(하나카드)/27093
가상 계좌 안내,고객이 미납한 카드 사용 내역이 무엇입니까?,지하철 6건과 버스 4건입니다.,AIHub(하나카드)/24624
가상 계좌 안내,고객이 오늘 가상 계좌에 입금하면 카드를 정상적으로 이용할 수 있나요?,"네, 오늘 밤 11시 30분까지 정확히 입금하면 카드가 정지되지 않으니 정상적으로 이용할 수 있습니다.",AIHub(하나카드)/26986
가상 계좌 안내,고객이 오늘 결제하려고 하는 것은 무엇인가?,남아 있는 금액 전체,AIHub(하나카드)/20840
가상 계좌 안내,고객이 오늘 결제해야 할 금액은 연체료 포함해서 얼마인가요?,"214,321원입니다.",AIHub(하나카드)/26986
가상 계좌 안내,고객이 오늘 출금을 요청한 계좌에서 앞으로 결제 금액이 출금될 예정이야?,"아니, 오늘만 요청한 계좌에서 출금돼.",AIHub(하나카드)/27300
가상 계좌 안내,미납금 완제 방법 중 반영이 가장 빠른 게 뭐니?,가상 계좌 입금이 반영이 바로 돼.,AIHub(하나카드)/25205
가상 계좌 안내,미납금을 가상 계좌를 안내받은 당일에 보내지 않아도 되나요?,"아니요, 미납금을 안내받은 날 보내지 않으면 금액이 달라집니다.",AIHub(하나카드)/24624
가상 계좌 안내,상담사가 고객에게 입금을 요청한 것은 무엇 때문인가?,나머지 결제 금액,AIHub(하나카드)/20811
가상 계좌 안내,상담사는 고객에게 오늘 안에 카드 미납 금액을 납부하지 않으면 내일은 내야 할 금액이 줄어든다고 말했지?,"아니, 시간이 지나면 미납 금액에 수수료가 붙어서 내야 할 금액이 늘어난다고 말했어.",AIHub(하나카드)/27019
가상 계좌 안내,상담사는 고객이 가상 계좌로 입금한 금액이 이중 인출되더라도 오늘 안에 환급해 준다고 말했지?,"아니, 이중 인출되면 내일 은행 영업시간 안까지 환급받을 수 있다고 설명했어.",AIHub(하나카드)/27006
가상 계좌 안내,상담사는 고객이 신청한 가상 계좌를 무엇으로 보냈어?,문자로 발송했어.,AIHub(하나카드)/22433
